id,source,target,type
2001,1001,1002,Married
2002,1001,1012,Child
2003,1001,1009,Child
2004,1001,1003,Parent
2005,1001,1004,Parent
2006,1001,1005,Parent
2007,1001,1006,Parent
2008,1001,1007,Parent
